,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,time_and_day,name,lat,lon,region_id
493,True,1,1,1,1576156561,11,0,4,0,0,517,12/12/2019 12:29:42,Fishers Ln & Rock Creek Mill Rd,39.0629,-77.113454,43
494,True,1,1,1,1576169812,11,0,4,0,0,518,12/12/2019 12:29:42,Congressional Ln & E Jefferson St,39.06219,-77.129235,43
495,True,1,1,1,1576107180,7,0,8,0,0,519,12/12/2019 12:29:42,Garland Ave & Walden Rd,39.00048,-77.00077,44
496,True,1,1,1,1576144458,4,0,9,0,0,520,12/12/2019 12:29:42,Greensboro & Pinnacle Dr,38.92245,-77.23034,104
497,True,1,1,1,1576144800,9,0,6,0,0,521,12/12/2019 12:29:42,1301 McCormick Dr / Wayne K. Curry Admin Bldg,38.908391,-76.843263,133
498,True,1,1,1,1576118719,6,0,11,0,0,522,12/12/2019 12:29:42,Largo Town Center Metro,38.899811,-76.844604,133
499,True,1,1,1,1576118886,6,0,10,1,0,523,12/12/2019 12:29:42,Baltimore Ave & Van Buren St / Riverdale Park Station,38.969581,-76.937349,133
500,True,1,1,1,1576112270,8,0,7,0,0,524,12/12/2019 12:29:42,Baltimore Ave & Jefferson St,38.95548,-76.940133,133
501,True,1,1,1,1576167870,8,0,7,0,0,525,12/12/2019 12:29:42,Perry & 35th St,38.936213,-76.960054,133
502,True,1,1,1,1576144756,7,0,8,0,0,526,12/12/2019 12:29:42,Rockville Pike & Meeting St,39.050539,-77.115212,43
503,True,1,1,1,1576166226,15,2,6,0,0,527,12/12/2019 12:29:42,Potomac Ave & Half St SW,38.870201045557025,-77.01083689928055,42
504,False,1,1,1,1576168446,6,0,5,0,0,529,12/12/2019 12:29:42,Crystal Dr & Potomac Ave,38.848304,-77.05122,41
505,True,1,1,1,1576144771,8,0,7,0,0,530,12/12/2019 12:29:42,Largo Rd & Campus Way / Prince Georges's Comm Col,38.88994,-76.825535,133
506,True,1,1,1,1576158209,3,0,16,0,0,531,12/12/2019 12:29:42,Stanton Square SE,38.855004,-76.984512,42
507,True,1,1,1,1576169554,9,1,9,0,0,532,12/12/2019 12:29:42,14th & Newton St NW,38.931991,-77.032956,42
508,True,1,1,1,1576155209,4,1,14,0,0,533,12/12/2019 12:29:42,48th Pl & MacArthur Blvd NW,38.917304,-77.09629,42
509,True,1,1,1,1576154224,8,0,11,0,0,534,12/12/2019 12:29:42,14th & Luzon St NW,38.969489,-77.033509,42
510,False,1,1,1,1576171326,17,1,1,0,0,535,12/12/2019 12:29:42,1st & M St SE,38.876893,-77.006072,42
511,True,1,1,1,1576144758,6,0,9,0,0,536,12/12/2019 12:29:42,Fleet St & Waterfront St,38.782633,-77.016059,133
512,True,1,1,1,1576144711,2,0,13,0,0,537,12/12/2019 12:29:42,Oxon Hill Park & Ride,38.798749,-77.00103,133
513,True,1,1,1,1576171074,12,1,6,0,0,538,12/12/2019 12:29:42,11th & Park Rd NW,38.93194154348121,-77.02835708856583,42
514,True,1,1,1,1576171289,13,0,6,0,0,539,12/12/2019 12:29:42,4th & M St SE,38.876751,-77.000736,42
515,True,1,1,1,1576160139,3,0,16,0,0,540,12/12/2019 12:29:42,Kansas Ave & Sherman Cr NW,38.948057,-77.021467,42
516,True,1,1,1,1576144795,6,0,5,0,0,541,12/12/2019 12:29:42,Campus Commons,38.944707,-77.335425,104
517,True,1,1,1,1576161045,1,0,10,0,0,542,12/12/2019 12:29:42,Park Run & Onyx Dr,38.92755,-77.226644,104
518,True,1,1,1,1576169657,16,1,2,0,0,543,12/12/2019 12:29:42,7th & K St NW,38.902674,-77.021392,42
519,False,1,1,1,1576169100,8,2,9,0,0,544,12/12/2019 12:29:42,King Greenleaf Rec Center,38.876211,-77.012443,42
520,True,1,1,1,1576164654,3,1,15,0,0,545,12/12/2019 12:29:42,Montello Ave & Holbrook Terr NE,38.907444,-76.986813,42
521,False,1,1,1,1576168076,26,1,6,0,0,546,12/12/2019 12:29:42,New Jersey Ave & F St NW,38.897108,-77.011616,42
522,True,1,1,1,1576169671,6,0,13,0,0,547,12/12/2019 12:29:42,Maryland Ave & 17th St NE,38.901935,-76.978627,42
523,True,1,1,1,1576171460,0,1,18,0,0,548,12/12/2019 12:29:42,Massachusetts Ave & 6th St NE,38.892934,-76.998273,42
524,False,1,1,1,1576168448,6,0,17,0,0,549,12/12/2019 12:29:42,Woodley Park Metro / Calvert St & Connecticut Ave NW,38.923389,-77.051833,42
525,True,1,1,1,1576144746,10,0,9,0,0,550,12/12/2019 12:29:42,McLean Metro,38.92400207520182,-77.20812678337097,104
526,True,1,1,1,1576167922,1,0,18,0,0,551,12/12/2019 12:29:42,Trinidad Rec Center,38.906299,-76.983221,42
527,True,1,1,1,1576162754,6,0,13,0,0,552,12/12/2019 12:29:42,Rosedale Rec Center,38.897808,-76.979634,42
528,True,1,1,1,1576167563,1,1,17,0,0,553,12/12/2019 12:29:42,11th & C St SE,38.885908,-76.991476,42
529,True,1,1,1,1576157647,0,0,19,0,0,554,12/12/2019 12:29:42,New Hampshire & Gallatin St NW,38.951596,-77.012808,42
530,True,1,1,1,1576058292,8,0,11,0,0,555,12/12/2019 12:29:42,United Medical Center,38.835737,-76.983144,42
531,False,1,1,1,1576170823,16,1,2,0,0,556,12/12/2019 12:29:42,18th & New Hampshire Ave NW,38.911268,-77.041829,42
532,True,1,1,1,1576160780,2,0,17,0,0,560,12/12/2019 12:29:42,Dunn Loring Metro,38.8828,-77.2283,104
533,True,1,1,1,1576144745,7,0,8,0,0,561,12/12/2019 12:29:42,Oglethorpe St & 42nd Ave,38.959361,-76.946361,133
